summary_id,record_id,dataset_layer,quality_status,overall_quality_score,rules_executed,rules_passed,warnings_count,errors_count,critical_count,requires_expert_review,research_eligible,approved_for_child_delivery
SUM-49dd1ae8eb94,C3-EN-VOC-NAMING-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-aa3a6279616c,C3-EN-VOC-NAMING-002,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-8ad430bafd10,C3-EN-VOC-MATCH-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-ee8183f183bd,C3-EN-VOC-DEF-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-f729f71f2884,C3-EN-VOC-SYN-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-bd4073203c23,C3-EN-VOC-CAT-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-4c8c60506f6d,C3-EN-VOC-ODD-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-6b14ed1239b5,C3-EN-VOC-ACT-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-c457e23c9b07,C3-EN-GRAM-ART-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-676cb8cdca8d,C3-EN-GRAM-PREP-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-817d4c041e96,C3-EN-GRAM-SVA-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-25d9dff85078,C3-EN-GRAM-PRON-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-db9939467667,C3-EN-GRAM-PLUR-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-cf8b9ff1928e,C3-EN-GRAM-TENSE-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-130784b9046c,C3-EN-GRAM-COMPL-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
SUM-09981696ba85,C3-EN-GRAM-WORD-001,adaptation_test_set,automatic_check_passed,100.0,16,16,0,0,0,True,False,False
